rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_flatfox
3.0,65.0,1155,910,2503,Meisenweg 16,Biel/Bienne,1955,False,True,False,False,False,False,False,False,True,17.77,385.0,21.67,False,False,False,1155_65.0_3.0_2503_Meisenweg16_Biel/Bienne,https://flatfox.ch/de/wohnung/meisenweg-16-2503-bielbienne/594790/
3.0,73.0,1540,1290,3008,Holligenstrasse 109,Bern,1961,True,True,True,False,False,False,False,False,True,21.1,513.33,24.33,False,True,False,1540_73.0_3.0_3008_Holligenstrasse109_Bern,https://flatfox.ch/de/wohnung/holligenstrasse-109-3008-bern/600627/
4.5,80.0,1816,1576,3072,Blankweg 20,Ostermundigen,2016,True,True,True,True,False,False,False,False,True,22.7,403.56,17.78,False,True,False,1816_80.0_4.5_3072_Blankweg20_Ostermundigen,https://flatfox.ch/de/wohnung/blankweg-20-3072-ostermundigen/581339/
4.0,72.0,1340,1140,3177,Eigerweg 7,Laupen BE,2005,True,True,False,False,False,False,False,False,True,18.61,335.0,18.0,False,True,True,1340_72.0_4.0_3177_Eigerweg7_Laupen BE,https://flatfox.ch/de/wohnung/eigerweg-7-3177-laupen-be/571337/
3.5,93.0,3375,3375,3232,No information,Ins,0,True,True,True,True,False,True,True,True,True,36.29,964.29,26.57,False,False,False,3375_93.0_3.5_3232_Noinformation_Ins,https://flatfox.ch/de/wohnung/3232-ins/603681/
3.5,75.0,1355,1125,4922,Südstrasse 8,Bützberg,0,True,False,True,True,False,False,False,False,False,18.07,387.14,21.43,False,False,False,1355_75.0_3.5_4922_Südstrasse8_Bützberg,https://flatfox.ch/de/wohnung/sudstrasse-8-4922-butzberg/473624/
2.5,64.0,1310,1150,3250,Busswilstrasse 8,Lyss,2010,True,True,True,False,True,False,False,False,False,20.47,524.0,25.6,False,False,False,1310_64.0_2.5_3250_Busswilstrasse8_Lyss,https://flatfox.ch/de/wohnung/busswilstrasse-8-3250-lyss/602423/
3.5,87.5,1100,900,3535,Brauchbühl 13,Schüpbach,0,True,False,False,True,False,False,False,True,False,12.57,314.29,25.0,False,False,False,1100_87.5_3.5_3535_Brauchbühl13_Schüpbach,https://flatfox.ch/de/wohnung/brauchbuhl-13-3535-schupbach/589850/
1.0,34.0,870,760,3006,Ostring 25,Bern,1989,False,True,False,False,False,False,False,False,False,25.59,870.0,34.0,False,True,False,870_34.0_1.0_3006_Ostring25_Bern,https://flatfox.ch/de/wohnung/ostring-25-3006-bern/596910/
2.5,62.5,845,695,2735,La Lignière 20,Malleray,0,True,True,True,True,False,False,False,False,False,13.52,338.0,25.0,False,False,False,845_62.5_2.5_2735_LaLignière20_Malleray,https://flatfox.ch/de/wohnung/la-ligniere-20-2735-malleray/548475/
3.5,81.0,1600,1350,4934,Lindenweg 3b,Madiswil,2015,True,False,True,False,False,True,False,True,False,19.75,457.14,23.14,False,False,False,1600_81.0_3.5_4934_Lindenweg3b_Madiswil,https://flatfox.ch/de/wohnung/lindenweg-3b-4934-madiswil/552693/
4.5,112.5,1265,1020,3154,Heubach,Rüschegg Heubach,1983,True,False,False,False,False,False,False,False,False,11.24,281.11,25.0,False,False,False,1265_112.5_4.5_3154_Heubach_Rüschegg Heubach,https://flatfox.ch/de/wohnung/heubach-3154-ruschegg-heubach/584412/
2.5,71.0,2232,2232,3600,No information,Thun,0,True,True,True,False,False,False,True,True,True,31.44,892.8,28.4,False,False,False,2232_71.0_2.5_3600_Noinformation_Thun,https://flatfox.ch/de/wohnung/3600-thun/603576/
2.5,66.0,1870,1700,3015,Weltpoststrasse 3B,Bern,2019,False,False,True,False,False,False,False,True,False,28.33,748.0,26.4,False,False,False,1870_66.0_2.5_3015_Weltpoststrasse3B_Bern,https://flatfox.ch/de/wohnung/weltpoststrasse-3b-3015-bern/581201/
4.5,90.0,1545,1315,4934,Obergasse 19A,Madiswil,2007,True,False,True,True,False,False,False,False,False,17.17,343.33,20.0,False,False,False,1545_90.0_4.5_4934_Obergasse19A_Madiswil,https://flatfox.ch/de/wohnung/obergasse-19a-4934-madiswil/531599/
3.0,65.0,1100,930,3422,Lindenhof 7,Kirchberg,0,True,True,False,True,False,False,False,False,True,16.92,366.67,21.67,False,True,False,1100_65.0_3.0_3422_Lindenhof7_Kirchberg,https://flatfox.ch/de/wohnung/lindenhof-7-3422-kirchberg/594240/
3.5,68.0,1490,1260,3422,Juraweg 19a,Kirchberg BE,1985,True,True,False,True,False,False,False,False,False,21.91,425.71,19.43,False,False,False,1490_68.0_3.5_3422_Juraweg19a_Kirchberg BE,https://flatfox.ch/de/wohnung/juraweg-19a-3422-kirchberg-be/484039/
4.5,101.0,1590,1340,3066,Bleichestrasse 61,Stettlen,1982,True,True,False,True,False,False,False,False,True,15.74,353.33,22.44,False,True,False,1590_101.0_4.5_3066_Bleichestrasse61_Stettlen,https://flatfox.ch/de/wohnung/bleichestrasse-61-3066-stettlen/583412/
4.5,178.0,2400,2150,4932,Dorfstrasse 2,Gutenburg,2021,True,False,False,True,False,False,False,False,False,13.48,533.33,39.56,False,False,False,2400_178.0_4.5_4932_Dorfstrasse2_Gutenburg,https://flatfox.ch/de/wohnung/dorfstrasse-2-4932-gutenburg/600837/
