rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_homegate
3.5,83.0,1610,1360,0,Ziegeleistrasse 28,Steffisburg,1985,True,True,True,False,False,False,False,False,False,19.4,460.0,23.71,False,False,False,1610_83.0_3.5_0_Ziegeleistrasse28_Steffisburg,https://www.homegate.ch/mieten/3001863829
3.0,65.0,1260,1050,0,Schlehdornweg 2,Steffisburg,2005,True,True,False,True,False,False,False,False,False,19.38,420.0,21.67,False,False,False,1260_65.0_3.0_0_Schlehdornweg2_Steffisburg,https://www.homegate.ch/mieten/3001858917
3.0,68.0,1345,1155,0,Turmstrasse 5,Steffisburg,2001,True,True,False,False,False,False,False,False,False,19.78,448.33,22.67,False,False,False,1345_68.0_3.0_0_Turmstrasse5_Steffisburg,https://www.homegate.ch/mieten/3001823957
4.0,77.0,1485,1245,0,Kirchfeldstrasse 10,Steffisburg,2005,True,True,False,False,False,False,False,False,False,19.29,371.25,19.25,False,False,False,1485_77.0_4.0_0_Kirchfeldstrasse10_Steffisburg,https://www.homegate.ch/mieten/3001855946
4.0,77.0,1500,1260,0,Schlehdornweg 15,Steffisburg,2005,True,True,False,False,False,False,False,False,False,19.48,375.0,19.25,False,False,False,1500_77.0_4.0_0_Schlehdornweg15_Steffisburg,https://www.homegate.ch/mieten/3001838200
4.5,94.0,2000,1850,0,Nesslerenweg 48,Wabern,2016,False,True,True,False,False,False,False,True,False,21.28,444.44,20.89,False,False,False,2000_94.0_4.5_0_Nesslerenweg48_Wabern,https://www.homegate.ch/mieten/3001838201
2.5,0.0,1030,830,0,Sägeweg 9,Aarberg,0,False,False,False,False,False,False,False,False,False,0.0,412.0,0.0,False,False,False,1030_0.0_2.5_0_Sägeweg9_Aarberg,https://www.homegate.ch/mieten/3001858602
2.5,0.0,1180,1000,0,Leimernweg 41,Aarberg,1995,True,False,False,False,False,False,False,False,False,0.0,472.0,0.0,False,False,False,1180_0.0_2.5_0_Leimernweg41_Aarberg,https://www.homegate.ch/mieten/3001862609
2.5,60.0,1190,1040,0,Spinsstrasse 2B,Aarberg,2021,True,False,True,False,False,False,False,False,False,19.83,476.0,24.0,False,False,False,1190_60.0_2.5_0_Spinsstrasse2B_Aarberg,https://www.homegate.ch/mieten/3001855554
2.5,50.0,1290,200,0,Leimernweg 1,Aarberg,2016,True,True,True,True,False,False,False,False,False,25.8,516.0,20.0,False,False,False,1290_50.0_2.5_0_Leimernweg1_Aarberg,https://www.homegate.ch/mieten/3001863582
3.5,0.0,1380,1200,0,Burgweg 35,Aarberg,0,False,False,False,True,False,False,False,False,False,0.0,394.29,0.0,False,False,False,1380_0.0_3.5_0_Burgweg35_Aarberg,https://www.homegate.ch/mieten/3001761346
3.5,0.0,1390,1190,0,Sägeweg 7,Aarberg,0,False,False,False,False,False,False,False,False,False,0.0,397.14,0.0,False,False,False,1390_0.0_3.5_0_Sägeweg7_Aarberg,https://www.homegate.ch/mieten/3001858600
3.5,78.0,1400,1170,0,Kistlerweg 10,Aarberg,2003,True,False,False,False,False,False,False,False,False,17.95,400.0,22.29,False,False,False,1400_78.0_3.5_0_Kistlerweg10_Aarberg,https://www.homegate.ch/mieten/3001863556
4.0,85.0,1480,1200,0,Lyssstrasse 17,Aarberg,0,True,False,False,True,False,False,False,False,False,17.41,370.0,21.25,False,False,False,1480_85.0_4.0_0_Lyssstrasse17_Aarberg,https://www.homegate.ch/mieten/3001779260
3.5,92.0,1590,1350,0,Kappelenstrasse 23,Aarberg,2002,True,False,False,True,False,False,False,False,False,17.28,454.29,26.29,False,False,False,1590_92.0_3.5_0_Kappelenstrasse23_Aarberg,https://www.homegate.ch/mieten/3001855555
3.5,83.0,1650,1400,0,Bernstrasse 16,Aarberg,0,True,False,True,False,False,False,False,False,False,19.88,471.43,23.71,False,False,False,1650_83.0_3.5_0_Bernstrasse16_Aarberg,https://www.homegate.ch/mieten/3001842850
3.5,91.0,1670,1470,0,Bahnhofstrasse 11 / W4,Aarberg,2015,False,False,True,False,False,False,False,False,False,18.35,477.14,26.0,False,False,False,1670_91.0_3.5_0_Bahnhofstrasse11/W4_Aarberg,https://www.homegate.ch/mieten/3001867870
4.5,86.0,1695,1505,0,Zeughausweg 8,Aarberg,0,True,False,False,True,False,False,False,False,False,19.71,376.67,19.11,False,False,False,1695_86.0_4.5_0_Zeughausweg8_Aarberg,https://www.homegate.ch/mieten/3001719625
5.0,116.0,1850,1650,0,Murtenstrasse 3,Aarberg,0,True,False,False,True,False,False,False,False,False,15.95,370.0,23.2,False,False,False,1850_116.0_5.0_0_Murtenstrasse3_Aarberg,https://www.homegate.ch/mieten/3001740999
4.5,120.0,1850,1590,0,Spinsstrasse 2A,Aarberg,2022,True,False,False,False,False,False,False,False,False,15.42,411.11,26.67,False,False,False,1850_120.0_4.5_0_Spinsstrasse2A_Aarberg,https://www.homegate.ch/mieten/3001758765
5.0,144.0,2065,1815,0,Murtenstrasse 3,Aarberg,0,True,False,False,True,False,False,False,False,False,14.34,413.0,28.8,False,False,False,2065_144.0_5.0_0_Murtenstrasse3_Aarberg,https://www.homegate.ch/mieten/3001741038
1.5,21.0,780,680,0,Jurastrasse 34,Aarwangen,2021,False,False,False,False,False,False,False,False,False,37.14,520.0,14.0,False,False,False,780_21.0_1.5_0_Jurastrasse34_Aarwangen,https://www.homegate.ch/mieten/3001793013
3.0,0.0,970,800,0,Wiesenstrasse 21,Aarwangen,0,False,False,False,False,False,False,False,True,False,0.0,323.33,0.0,False,False,False,970_0.0_3.0_0_Wiesenstrasse21_Aarwangen,https://www.homegate.ch/mieten/3001033611
4.0,67.0,1055,935,0,No information,Aarwangen,2019,True,False,False,True,False,False,False,False,False,15.75,263.75,16.75,False,False,False,1055_67.0_4.0_0_Noinformation_Aarwangen,https://www.homegate.ch/mieten/3001832315
3.5,68.0,1260,1060,0,Schmidtenweg 9,Aarwangen,0,False,False,True,False,False,False,False,False,False,18.53,360.0,19.43,False,False,False,1260_68.0_3.5_0_Schmidtenweg9_Aarwangen,https://www.homegate.ch/mieten/3001819462
4.0,71.0,1300,1110,0,Wiesenstrasse 19,Aarwangen,0,False,False,False,True,False,False,False,True,False,18.31,325.0,17.75,False,False,False,1300_71.0_4.0_0_Wiesenstrasse19_Aarwangen,https://www.homegate.ch/mieten/3001320919
2.5,64.0,1390,1220,0,Schmidtenweg 2,Aarwangen,2020,True,True,True,False,False,False,False,False,False,21.72,556.0,25.6,False,False,False,1390_64.0_2.5_0_Schmidtenweg2_Aarwangen,https://www.homegate.ch/mieten/3001702331
4.5,90.0,1440,1290,0,Mumenthalerstrasse 6,Aarwangen,2019,True,False,False,True,False,False,False,False,False,16.0,320.0,20.0,False,False,False,1440_90.0_4.5_0_Mumenthalerstrasse6_Aarwangen,https://www.homegate.ch/mieten/3001772632
4.5,0.0,1440,1190,0,Schmidtenweg 11,Aarwangen,0,False,False,True,True,False,False,False,False,False,0.0,320.0,0.0,False,False,False,1440_0.0_4.5_0_Schmidtenweg11_Aarwangen,https://www.homegate.ch/mieten/3001819464
4.5,0.0,1450,1200,0,Jurastrasse 112,Aarwangen,0,False,False,False,False,False,False,False,False,False,0.0,322.22,0.0,False,False,False,1450_0.0_4.5_0_Jurastrasse112_Aarwangen,https://www.homegate.ch/mieten/3001872190
4.0,78.0,1470,1270,0,Wynaustrasse 24,Aarwangen,1950,False,False,False,False,False,False,False,False,False,18.85,367.5,19.5,False,False,False,1470_78.0_4.0_0_Wynaustrasse24_Aarwangen,https://www.homegate.ch/mieten/3001855332
3.5,87.0,1560,1320,0,Schmidtenweg 6,Aarwangen,2020,True,True,True,False,False,False,False,False,False,17.93,445.71,24.86,False,False,False,1560_87.0_3.5_0_Schmidtenweg6_Aarwangen,https://www.homegate.ch/mieten/3001710824
3.5,91.0,1630,1380,0,Schmidtenweg 4,Aarwangen,2020,True,True,True,False,False,False,False,False,False,17.91,465.71,26.0,False,False,False,1630_91.0_3.5_0_Schmidtenweg4_Aarwangen,https://www.homegate.ch/mieten/3001863497
5.5,124.0,1645,1375,0,Riedgasse 36 A,Aarwangen,1984,False,False,False,False,False,False,False,False,False,13.27,299.09,22.55,False,False,False,1645_124.0_5.5_0_Riedgasse36A_Aarwangen,https://www.homegate.ch/mieten/3001683481
4.5,116.0,1890,1630,0,Friedhofstrasse 19,Aarwangen,2014,False,False,True,False,False,False,False,True,False,16.29,420.0,25.78,False,False,False,1890_116.0_4.5_0_Friedhofstrasse19_Aarwangen,https://www.homegate.ch/mieten/3001782647
1.0,0.0,850,850,0,Liimerweg 2B,Adelboden,0,True,True,False,True,False,False,False,False,False,0.0,850.0,0.0,False,False,False,850_0.0_1.0_0_Liimerweg2B_Adelboden,https://www.homegate.ch/mieten/3001822408
2.5,58.0,1320,1140,0,Grenzstrasse 14 (Haus G),Aegerten,2016,True,True,True,False,False,False,False,True,False,22.76,528.0,23.2,False,False,False,1320_58.0_2.5_0_Grenzstrasse14(HausG)_Aegerten,https://www.homegate.ch/mieten/3001845794
3.5,94.0,1540,1340,0,Stockfeldstrasse 3,Aegerten,0,True,False,False,True,False,False,False,False,False,16.38,440.0,26.86,False,False,False,1540_94.0_3.5_0_Stockfeldstrasse3_Aegerten,https://www.homegate.ch/mieten/3001828340
3.5,85.0,1610,1400,0,Mittelstrasse 19,Aegerten,0,True,True,True,False,False,False,False,True,False,18.94,460.0,24.29,False,False,False,1610_85.0_3.5_0_Mittelstrasse19_Aegerten,https://www.homegate.ch/mieten/3001843138
3.5,90.0,1620,1450,0,Alte Bernstrasse 15,Aegerten,0,True,True,True,True,False,False,False,True,False,18.0,462.86,25.71,False,False,False,1620_90.0_3.5_0_AlteBernstrasse15_Aegerten,https://www.homegate.ch/mieten/3001848806
