rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_immoscout
4.5,112.5,1590,1350,2563,Buchenweg 15,Ipsach,0,True,True,False,True,False,False,False,False,False,14.13,353.33,25.0,False,True,False,1590_112.5_4.5_2563_Buchenweg15_Ipsach,https://www.immoscout24.ch/de/d/wohnung-mieten-ipsach/7029340
4.5,100.0,1750,1600,3627,Dornhaldestrasse 7,Heimberg,2012,True,False,False,True,True,False,False,False,True,17.5,388.89,22.22,False,False,False,1750_100.0_4.5_3627_Dornhaldestrasse7_Heimberg,https://www.immoscout24.ch/de/d/wohnung-mieten-heimberg/3539287
2.5,58.0,1070,980,2732,Rue du 16 Mars 10,Reconvilier,2022,True,False,True,True,False,True,True,True,True,18.45,428.0,23.2,False,False,False,1070_58.0_2.5_2732_Ruedu16Mars10_Reconvilier,https://www.immoscout24.ch/de/d/wohnung-mieten-reconvilier/6780372
4.5,96.0,1980,1680,3645,Schorenstrasse 28,Gwatt (Thun),2019,True,False,False,False,False,False,False,True,True,20.62,440.0,21.33,True,False,False,1980_96.0_4.5_3645_Schorenstrasse28_Gwatt(Thun),https://www.immoscout24.ch/de/d/wohnung-mieten-gwatt-thun/7083300
1.0,25.0,790,696,2577,Hauptstrasse 13,Finsterhennen,2021,True,False,False,True,False,False,False,False,True,31.6,790.0,25.0,False,False,False,790_25.0_1.0_2577_Hauptstrasse13_Finsterhennen,https://www.immoscout24.ch/de/d/einzelzimmer-mieten-finsterhennen/7100559
3.5,80.0,1950,1720,3806,Seestrasse 36,Bönigen b. Interlaken,2006,True,False,True,True,False,True,False,True,True,24.38,557.14,22.86,True,False,False,1950_80.0_3.5_3806_Seestrasse36_Bönigenb.Interlaken,https://www.immoscout24.ch/de/d/dachwohnung-mieten-boenigen-b-interlaken/6852996
2.5,68.0,1690,1490,3063,Gartenstrasse 2,Ittigen,0,True,False,True,False,False,False,False,True,False,24.85,676.0,27.2,False,True,False,1690_68.0_2.5_3063_Gartenstrasse2_Ittigen,https://www.immoscout24.ch/de/d/wohnung-mieten-ittigen/7100508
1.0,14.0,620,550,2543,Solothurnerstrasse 33,Lengnau BE,2021,True,True,False,True,False,False,True,False,False,44.29,620.0,14.0,False,False,False,620_14.0_1.0_2543_Solothurnerstrasse33_LengnauBE,https://www.immoscout24.ch/de/d/wohnung-mieten-lengnau-be/6792828
2.5,62.5,1050,900,2502,Bahnhofstrasse 30,Biel/Bienne,0,False,False,True,False,False,False,False,True,True,16.8,420.0,25.0,False,True,False,1050_62.5_2.5_2502_Bahnhofstrasse30_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7100465
4.5,112.5,2340,2090,3436,Bordweg 5,Zollbrück,2022,True,False,True,False,False,True,True,True,True,20.8,520.0,25.0,True,True,False,2340_112.5_4.5_3436_Bordweg5_Zollbrück,https://www.immoscout24.ch/de/d/wohnung-mieten-zollbrueck/6957911
2.5,93.0,1735,1555,3436,Bordweg 5,Zollbrück,2022,True,False,True,False,False,True,True,True,True,18.66,694.0,37.2,True,True,False,1735_93.0_2.5_3436_Bordweg5_Zollbrück,https://www.immoscout24.ch/de/d/wohnung-mieten-zollbrueck/6961546
3.0,75.0,1435,1285,3322,Feldeggstrasse 15,Urtenen-Schönbühl,0,True,True,False,False,False,False,False,False,False,19.13,478.33,25.0,False,False,False,1435_75.0_3.0_3322_Feldeggstrasse15_Urtenen-Schönbühl,https://www.immoscout24.ch/de/d/wohnung-mieten-urtenen-schoenbuehl/6982816
5.5,148.0,2850,2440,3006,Bolligenstr.28b,Bern,0,False,True,False,False,False,False,False,False,False,19.26,518.18,26.91,True,True,False,2850_148.0_5.5_3006_Bolligenstr.28b_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7073861
2.5,74.0,1500,1290,3322,Etzmattrain 23,Urtenen-Schönbühl,2013,True,True,True,False,False,False,True,True,False,20.27,600.0,29.6,False,True,False,1500_74.0_2.5_3322_Etzmattrain23_Urtenen-Schönbühl,https://www.immoscout24.ch/de/d/wohnung-mieten-urtenen-schoenbuehl/7073860
3.5,91.0,1750,1500,3098,Spühlihalde 15,Köniz,1997,False,True,True,False,False,False,False,False,False,19.23,500.0,26.0,False,True,False,1750_91.0_3.5_3098_Spühlihalde15_Köniz,https://www.immoscout24.ch/de/d/wohnung-mieten-koeniz/7037828
4.5,124.0,1890,1600,2554,Hauptstrasse 46,Meinisberg,2022,True,True,True,False,False,False,True,True,True,15.24,420.0,27.56,False,False,False,1890_124.0_4.5_2554_Hauptstrasse46_Meinisberg,https://www.immoscout24.ch/de/d/wohnung-mieten-meinisberg/7066819
3.5,99.0,1650,1420,2554,Hauptstrasse 46,Meinisberg,2022,True,True,True,False,False,False,True,True,True,16.67,471.43,28.29,False,False,False,1650_99.0_3.5_2554_Hauptstrasse46_Meinisberg,https://www.immoscout24.ch/de/d/wohnung-mieten-meinisberg/7066640
4.5,97.0,1745,1475,3400,Gyrischachenstrasse 6b,Burgdorf,2011,True,True,True,True,False,False,False,False,False,17.99,387.78,21.56,False,False,True,1745_97.0_4.5_3400_Gyrischachenstrasse6b_Burgdorf,https://www.immoscout24.ch/de/d/wohnung-mieten-burgdorf/7083115
2.5,65.0,1395,1275,4922,Dammweg 9,Bützberg,2014,True,True,True,False,True,False,False,False,False,21.46,558.0,26.0,False,True,False,1395_65.0_2.5_4922_Dammweg9_Bützberg,https://www.immoscout24.ch/de/d/attikawohnung-mieten-buetzberg/7072023
1.5,36.0,935,855,3250,Aarbergstrasse 24,Lyss,2009,False,True,True,True,False,True,False,False,False,25.97,623.33,24.0,False,False,False,935_36.0_1.5_3250_Aarbergstrasse24_Lyss,https://www.immoscout24.ch/de/d/wohnung-mieten-lyss/6445409
4.0,83.0,1630,1320,3097,Könizstrasse 266,Liebefeld,2017,True,True,False,False,False,False,False,False,False,19.64,407.5,20.75,True,True,False,1630_83.0_4.0_3097_Könizstrasse266_Liebefeld,https://www.immoscout24.ch/de/d/wohnung-mieten-liebefeld/7084373
3.5,80.0,1500,1350,3600,Obere Hauptgasse 46,Thun,2018,False,False,False,False,False,False,False,True,True,18.75,428.57,22.86,False,False,False,1500_80.0_3.5_3600_ObereHauptgasse46_Thun,https://www.immoscout24.ch/de/d/wohnung-mieten-thun/7099762
3.5,107.0,1280,1080,4538,Lerchenweg 9,Oberbipp,2021,False,True,False,True,False,False,False,True,True,11.96,365.71,30.57,True,True,False,1280_107.0_3.5_4538_Lerchenweg9_Oberbipp,https://www.immoscout24.ch/de/d/dachwohnung-mieten-oberbipp/3250833
